,date,hashrate
2148,2014-11-28,280465.55231544265
2149,2014-11-29,289337.4218274618
2150,2014-11-30,287334.09645378013
2151,2014-12-01,291626.93654024095
2152,2014-12-02,288192.66447107226
2153,2014-12-03,292199.31521843566
2154,2014-12-04,285903.1497582931
2155,2014-12-05,290460.8828920884
2156,2014-12-06,288718.2953545132
2157,2014-12-07,286699.9065059102
2158,2014-12-08,276716.00109170063
2159,2014-12-09,278407.6856232942
2160,2014-12-10,277260.33042566705
2161,2014-12-11,289225.74468617176
2162,2014-12-12,288373.4094857213
2163,2014-12-13,286100.5156178536
2164,2014-12-14,285532.2921508868
2165,2014-12-15,288373.40948572144
2166,2014-12-16,289225.7446861719
2167,2014-12-17,287521.074285271
2168,2014-12-18,277008.94014638255
2169,2014-12-19,274761.5610297493
2170,2014-12-20,269163.4068000624
2171,2014-12-21,268044.66585886327
2172,2014-12-22,271171.9834029166
2173,2014-12-23,263849.6368760794
2174,2014-12-24,271456.36770862044
2175,2014-12-25,277685.48804549273
2176,2014-12-26,286091.70867250056
2177,2014-12-27,291695.8557571724
2178,2014-12-28,297019.7954876107
2179,2014-12-29,303184.3572807498
2180,2014-12-30,314392.6514500937
2181,2014-12-31,309909.3337823561
2182,2015-01-01,312332.6359989901
2183,2015-01-02,312886.9202895161
2184,2015-01-03,318714.7260085566
2185,2015-01-04,321213.65567807626
2186,2015-01-05,322328.3546770694
2187,2015-01-06,323459.8597767038
2188,2015-01-07,327861.4195736144
2189,2015-01-08,325841.1467417348
2190,2015-01-09,316894.2242005534
2191,2015-01-10,314585.3409641194
2192,2015-01-11,307947.301659372
2193,2015-01-12,302463.70397284144
2194,2015-01-13,305188.339008711
2195,2015-01-14,292664.15314676316
2196,2015-01-15,297101.57323095674
2197,2015-01-16,301543.76884257625
2198,2015-01-17,304202.22068658983
2199,2015-01-18,306288.22724892077
2200,2015-01-19,310389.73111570545
2201,2015-01-20,307579.3613168712
2202,2015-01-21,312263.310981595
2203,2015-01-22,307891.62462785275
2204,2015-01-23,311326.52104865026
2205,2015-01-24,303519.9382741104
2206,2015-01-25,298523.7252984048
2207,2015-01-26,291341.6691458281
2208,2015-01-27,282598.2964383434
2209,2015-01-28,290404.87921288324
2210,2015-01-29,293934.2826043795
2211,2015-01-30,296921.43842116377
2212,2015-01-31,298941.4036976771
2213,2015-02-01,306587.7261978668
2214,2015-02-02,317069.20147820935
2215,2015-02-03,320497.16046714364
2216,2015-02-04,314787.2043903605
2217,2015-02-05,315666.4982573728
2218,2015-02-06,308925.24527694605
2219,2015-02-07,319476.77168109216
2220,2015-02-08,324459.4369274946
2221,2015-02-09,312149.32278932416
2222,2015-02-10,317997.21768683376
2223,2015-02-11,325783.7946852596
2224,2015-02-12,325949.8248362465
2225,2015-02-13,325799.4449386526
2226,2015-02-14,318705.11697598436
2227,2015-02-15,319119.75502228463
2228,2015-02-16,323906.8389355815
2229,2015-02-17,324853.9349558609
2230,2015-02-18,326432.4283229933
2231,2015-02-19,329905.11373068474
2232,2015-02-20,338744.67658662656
2233,2015-02-21,346952.8420957154
